.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,.,.,.,.,.,.,B,B,.,.,.,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,.,.,.,.,.,.,B,B,.,.,.,B,B,B,.,.,.,.,.,.,.,.,.,.,B,B,.,.
.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,B,B,B,.,.,B,B,B,B,.,.,.,.,B,B,.,.
.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,B,B,B,.,.,B,B,B,B,.,.,.,.,.,.,Y,Y
.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,#,#,#,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,Y,Y,Y,Y,Y
.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,.,.,.,.,.,.,.,B,B,B,.,.,G,G,G,G,.,.,Y,Y,Y,Y,Y
.,.,.,.,.,#,#,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,.,.,.,.,.,.,.,B,B,B,.,.,G,G,G,G,.,.,.,.,.,Y,Y
.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,B,B,.,.,.,.,.,.,.,B,B,B,.,.,.,.,.,.,.,#,.,.,.,.,.
#,#,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,B,B,B,.,.,.,.,.,.,.,#,.,.,.,.,.
#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,#,#,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.
.,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,Y,Y,.,.,.,.,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,B,B,B,.,.,.,.,.,.,.,#,#,#,B,B,B,B,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,B,B,.,.,.,Y,Y,Y,.,.,.,.,.,.,.,G,#,G,.,.,.,#,#,#,.,.,.,.,.,#,#,B,B,B,Y,Y,.,.,.,.,.,.,.
.,.,.,.,.,.,.,B,B,.,.,G,Y,Y,Y,.,.,.,.,#,.,.,.,#,.,.,.,.,#,#,#,.,.,.,.,Y,Y,Y,Y,.,.,Y,Y,.,.,.,.,.,.,.
.,.,.,.,.,.,.,B,B,.,.,G,G,G,B,.,.,.,.,#,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,Y,Y,Y,Y,.,.,Y,Y,.,.,.,.,.,.,.
#,.,.,.,.,.,.,.,.,.,.,B,B,B,B,.,.,.,.,#,.,.,.,.,.,.,.,.,G,G,G,.,.,.,.,Y,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.
#,.,.,.,.,.,.,.,.,.,.,B,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
#,.,.,.,.,.,.,.,.,.,.,B,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,G,G,.
B,B,B,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,G,G,.
B,B,B,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,G,G,.
B,B,B,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,.
B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,#
.,.,.,.,.,.,.,.,.,.,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,Y,Y,.,.,.,.,.,.,.,.,.
.,.,.,.,.,#,#,#,.,.,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,.,.,.,.,.,.,.,.,.
.,.,.,G,G,#,#,#,.,.,Y,#,#,B,B,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,.,.,#,.,.,.,.,.,.
.,.,.,G,G,#,#,#,.,.,.,#,#,B,B,.,.,#,.,.,.,.,#,#,.,.,.,.,.,.,.,.,#,#,B,B,.,.,.,Y,Y,.,.,#,.,#,#,#,.,.
.,.,.,G,G,.,.,.,.,#,#,#,#,#,B,.,.,#,.,.,.,.,#,#,.,.,.,.,.,.,#,.,#,#,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.
